ArrivalHour,WlkinTimeBetweenArrivals,AmbTimeBetweenArrivals,Non ED MAU Admissions,mean ED LoS,std ED LoS,mean move,std move,mean MAU LoS,std MAU LoS
0,2.1318604016994556,1.3213113481093546,1.219200178942433,1.138416847797972,1.1255814692711728,1.009592396054171,0.9611817858865943,1.0802558210984585,1.189364869386191
1,2.6873127012813476,1.4608983234243196,1.125691788865135,1.0811066028196343,1.0409171061715297,1.0686336517051493,1.0895684053151844,0.9789232485990865,0.7120956679787316
2,3.169326997049066,1.9735286730947026,2.533824851490685,1.0316469365308627,1.0334512122516382,1.0126015548619463,1.00541579662047,0.9758998267966877,0.7117499583919107
3,3.6909609332337148,1.6586268439979117,1.5189244527415615,0.9543233527245074,0.9362368264731954,1.0579480409431854,1.0734669327402697,0.9945279570003832,0.7335005649347738
4,4.007038873398423,1.3600716574463796,0.5735938393905634,0.951417399723051,0.8936207175098014,0.973750420872755,0.9634014339042747,0.9379097454683256,0.8483285743298709
5,3.6807879803667203,1.5648378402799954,0.6345506759808497,0.9090446617958682,0.9952190258129023,1.0809699536892932,1.0782540691477942,0.8368494360646828,0.8204770019652824
6,2.8587553438698254,2.5748254070583547,0.6955075125711361,0.8558898120926476,0.7962490088361329,1.0421870657332983,1.023871094927933,1.017883408071749,3.1762290993312563
7,1.9746354051502073,1.796183733424132,0.2631469994881214,0.7463903789516618,0.8686833131165805,1.1482290788554084,1.0355418582069347,0.6856677933203936,0.5112637541251054
8,1.263968008440915,1.1143496485685502,0.6674286297378044,0.7486192941801437,0.7696838998265138,0.7905000706770104,0.761545733848576,0.7692012023850588,0.5905202890183826
9,0.7861294096004775,0.8933667405604668,1.6376096427735944,0.7689970661945386,0.7422070480776034,0.9301426397333531,0.9277444599059472,0.8339766469928779,0.6526794201047076
10,0.7023012157180704,0.7686825498868657,1.8166395672116666,0.817926450844459,0.7509894618120478,0.9596821910089259,1.0062984018787968,0.9723600462895994,0.8504354979212284
11,0.618384876939168,0.7604620393481925,1.0890066544217278,0.8594025884320974,0.8206791248727371,0.9342774757232412,0.9365498439847175,0.9779551065652239,1.1966570435220947
12,0.6204802422772904,0.755024116145727,0.5595012542183659,0.8935844213708473,0.8696244402714484,0.9718226271603437,0.9778500095322619,0.9424321261454475,1.045639278563215
13,0.6421779463648009,0.7516597957488328,1.2091438077745325,0.9394609711160958,0.9080425170943597,0.9317620044721335,0.9624540419708656,0.9355094527109662,0.9299969623637628
14,0.6623415001179157,0.7278732378393254,0.615256645736005,0.9644069177382254,0.9771729997072942,0.9494549756427658,0.9154447647747168,1.0092604066999435,0.8114649402776373
15,0.7265479352519845,0.699851318129731,0.47170202480942897,1.022717146942599,0.964638620649029,1.0110083680949271,1.0036198005966808,1.0274663677130045,0.993972657720262
16,0.6907247434455784,0.7145908523916402,0.9615312629167225,1.1042040904049713,1.1501220650560116,1.0622356114359692,1.0034301569790012,1.0143959584849254,0.9801983439280506
17,0.6323447347767464,0.6829901768860083,0.674423343128742,1.149263454681367,1.0746902361269774,1.0339013812398063,1.0167991904947409,1.0191826218179012,0.8199765204804649
18,0.5909021046591972,0.9634333381621053,0.816411591365052,1.1838944794192465,1.1334465957877422,1.0300061731272236,1.0411234603422972,1.0811650197228457,1.1282505340841422
19,0.6716138933891006,1.0610799132921813,1.238456384932703,1.1183768401168654,1.1015317915527372,1.100669339680783,1.0330459175627915,0.9894044817678437,0.7097230039138793
20,0.8035402609938161,0.8178143640051513,0.9104337551165719,1.1255765984375037,1.152836560191438,1.0032325524475696,1.0446753526765797,1.0830790761745654,0.9756427571586429
21,0.9516784161760434,0.8778654791916225,1.1393325444680484,1.1614460234650164,1.1660560135488998,0.9819847049594577,0.9940586437817641,1.1185733373706497,1.2620551205450725
22,1.148743855182431,0.9845045434767971,1.7157850561560928,1.1559685016586783,1.0624706974171838,0.9777124247206059,0.9828185766849932,1.0427400806809815,0.8245785918896608
23,1.5335855591060599,1.1605105450823245,1.1444887351966333,1.101624861204175,1.0496685869806397,1.0469774547597372,1.0197621769863285,1.0437760660366642,0.6800202847161255
